trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
69,0,69,0,345.4155591999952,,,,,345.39888669999345,345.4155591999952,347.4163004000002,347.4163004000002,350.41963419999956,350.4041994999934,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
70,0,70,0,350.41963419999956,,,,,350.4044664999965,350.41963419999956,352.42054729999654,352.42054729999654,355.42386659999465,355.4067828999978,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
71,0,71,0,355.42386659999465,,,,,355.4070570999975,355.42386659999465,357.45769519999885,357.45769519999885,360.4610141999947,360.44435159999557,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
72,0,72,0,360.4610141999947,,,,,360.44462579999526,360.4610141999947,362.4617324999999,362.4617324999999,365.4651986999961,365.4489892999991,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
73,0,73,0,365.4651986999961,,,,,365.4492590999944,365.4651986999961,367.46592039999814,367.46592039999814,370.4691176999986,370.4521706999949,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
74,0,74,0,370.4691176999986,,,,,370.45244439999806,370.4691176999986,372.46978719999606,372.46978719999606,375.47346039999684,375.45730399999593,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
75,0,75,0,375.47346039999684,,,,,375.45756979999715,375.47346039999684,377.4739763999969,377.4739763999969,380.47721119999915,380.4610640999963,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
76,0,76,0,380.47721119999915,,,,,380.46133539999573,380.47721119999915,382.47804449999967,382.47804449999967,385.48139159999846,385.46390589999646,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
77,0,77,0,385.48139159999846,,,,,385.46417989999463,385.48139159999846,387.4819892999949,387.4819892999949,390.4852885,390.4691332000002,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
78,0,78,0,390.4852885,,,,,390.4694038999951,390.4852885,392.4861394999971,392.4861394999971,395.4897450999997,395.47322669999994,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
